"Variable", "Node", "Time", "Value"
controllerAcceleration, 0, 1.11, -0.00218518
controllerAcceleration, 0, 1.21, -0.00213419
controllerAcceleration, 0, 1.31, -0.00205408
controllerAcceleration, 0, 1.41, -0.00195152
controllerAcceleration, 0, 1.51, -0.00183238
controllerAcceleration, 0, 1.61, -0.00170178
controllerAcceleration, 0, 1.71, -0.00156412
controllerAcceleration, 0, 1.81, -0.00142314
controllerAcceleration, 0, 1.91, -0.00128196
controllerAcceleration, 0, 2.01, -0.00114315
controllerAcceleration, 0, 2.11, -0.00100877
controllerAcceleration, 0, 2.21, -0.000880447
controllerAcceleration, 0, 2.31, -0.000759381
controllerAcceleration, 0, 2.41, -0.000646445
controllerAcceleration, 0, 2.51, -0.000542204
controllerAcceleration, 0, 2.61, -0.000446965
controllerAcceleration, 0, 2.71, -0.000360819
controllerAcceleration, 0, 2.81, -0.000283678
controllerAcceleration, 0, 2.91, -0.000215307
controllerAcceleration, 0, 3.01, -0.000155357
controllerAcceleration, 0, 3.11, -0.000103391
controllerAcceleration, 0, 3.21, -5.89069e-05
controllerAcceleration, 0, 3.31, -2.13575e-05
controllerAcceleration, 0, 3.41, 9.82919e-06
controllerAcceleration, 0, 3.51, 3.52368e-05
controllerAcceleration, 0, 3.61, 5.54479e-05
controllerAcceleration, 0, 3.71, 7.10335e-05
controllerAcceleration, 0, 3.81, 8.25451e-05
controllerAcceleration, 0, 3.91, 9.05081e-05
controllerAcceleration, 0, 4.01, 9.54172e-05
controllerAcceleration, 0, 4.11, 9.7733e-05
controllerAcceleration, 0, 4.21, 9.78798e-05
controllerAcceleration, 0, 4.31, 9.62447e-05
controllerAcceleration, 0, 4.41, 9.31771e-05
controllerAcceleration, 0, 4.51, 8.89894e-05
controllerAcceleration, 0, 4.61, 8.39579e-05
controllerAcceleration, 0, 4.71, 7.83245e-05
controllerAcceleration, 0, 4.81, 7.22983e-05
controllerAcceleration, 0, 4.91, 6.6058e-05
controllerAcceleration, 0, 5.01, 5.9754e-05
controllerAcceleration, 0, 5.11, 5.35107e-05
controllerAcceleration, 0, 5.21, 4.74294e-05
controllerAcceleration, 0, 5.31, 4.15898e-05
controllerAcceleration, 0, 5.41, 3.60534e-05
controllerAcceleration, 0, 5.51, 3.0865e-05
controllerAcceleration, 0, 5.61, 2.60551e-05
controllerAcceleration, 0, 5.71, 2.16419e-05
controllerAcceleration, 0, 5.81, 1.76335e-05
controllerAcceleration, 0, 5.91, 1.40289e-05
controllerAcceleration, 0, 6.01, 1.08202e-05
